Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;;
Degree of Detail Table;;;;;;;;;;;;;
Country (Name Level 0);Name Level 1;Name Level 2;Name Level 3;Name Level 4;Level reached;Source Data;Data Format Observations;Year;HDD Cereals;HDD Industrial Crops;HDD Vegetables;HDD Fruit Trees;Observations on crops
Albania;NA;NA;Prefectures/Counties (Qarku);Municipalities (Bashkive);3 to 4;INSTAT Albania;Data at municipality level, where Çorovodë was changed to Skrapar. Data for all crops available at municipality level (std_albania_crops_all) were retrieved and then summarised at province level with an R program, then exported to .xlsx (albania_qarkat_data) to be formatted in Excel for definitive datasheet (std_albania_ha_allcrops_prov_2023);2022;3;3;3;3;
Algeria;NA;NA;Wilayas;NA;3;Ministère de L'Agriculture et du Developpement Rural;PDF in French;2019;1 and 3;1 and 2;1 and 3;1, 2 and 3;
Austria;NA;States (Bundesländer);(Groups of Districts, Gruppen von Politischen Bezirken);Municipalities (Gemeinden);2;Statistics Austria;NUTS 3 Level Data has a paywall and were not obtained;2020 to 2023;3;3;1 and 3;1, 2 and 3;
Belarus;;Regions/Oblasts;Districts/Raions;NA;2;Belarus Statistic Database;Data for Agricultural Organisations (Belarus total, Level 0) and for All organisations (level 2 oblasts). ;2023;NA;3;1 and 3;NA;only four crops
Belgium;Regions;Provinces;Arrondissements;Municipalities (gemeenten / communes);3;STATBEL - Belgium in figures;Excel translated to English;2022;3;3;1 and 3;1 and 3;
Bosnia;Federal entities and condominium;NA;Cantons;Municipalities;0;various (see Legend tab);NA;2022;3;3;3;3;
Bulgaria;Regions;Planning regions;Oblasts;Municipalities (общини, obshtini);3;Bulgaria Ministry of Agriculture and Food;NA;2020;1 and 3;1 and 3;3;2 and 3;Vegetables have only legumes subgroup. Fruit trees only specify level 3 for vineyards, the rest are level 2.
Croatia;NA;Regions/Oblasts;Counties (županije) + Zagreb;Municipalities (općine);3;Državni zavod za statistiku;NA;2022;1 and 3;1 and 3;2 and 3;2 and 3;Vegetables have only legumes subgroup and potatoes. Fruit trees only specify level 3 for vineyards, the rest are level 2.
Cyprus;NA;NA;NA;Municipalities, communities (δήμοι, κοινότητες);4;CYSTAT;NA;;1 and 3;1 and 2;2 and 3;2 and 3;Vegetables have only legumes subgroup
Czech Republic;NA;Cohesion Regions (soudržnosti);Regions (kraj);Municipalities (obce);3;Public Database of Czech Statistical Office;NA;2017;1 and 3;1 and 3;1, 2 and 3;3;
