Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;
Decision-Making Table;;;;;;;;;;;;
Country;Administrative Level;Source Crop;Decision;Std Crop;Crop Subgroup;Crop Group;Area Type;Unit transformation;Source Units;Yield Data Availability;Production Data Availability;Source Data
Albania;3;-Wheat;Keep and rename;wheat;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;-Maize;Keep and rename;maize;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;-Rye;Keep and rename;rye;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;-Barley;Keep and rename;barley;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;-Oats;Keep and rename;oats;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Potatoes;Keep and rename;potato;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;White beans;Keep and rename;kidney beans;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Tobacco;Keep and rename;tobacco;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Sunflowers;Keep and rename;sunflower;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Soya;Keep and rename;soybean;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Forage;Drop;;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Medicinal Plant;Keep and rename;aromatic and medicinal herbs;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Sugar beet;Keep and rename;sugar beet;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;Strawberry;Keep and rename;strawberry;;;Sown Area;Original;hectares;yes;yes;1
Albania;3;-Tomato;Keep and rename;tomato;;;Sown Area;Original;hectares;yes;yes;2
Albania;3;-Cucumber;Keep and rename;cucumber;;;Sown Area;Original;hectares;yes;yes;2
Albania;3;-Pepper;Keep and rename;pepper;;;Sown Area;Original;hectares;yes;yes;2
Albania;3;-Watermelon;Keep and rename;watermelon;;;Sown Area;Original;hectares;yes;yes;3
Albania;3;-Melon;Keep and rename;melon;;;Sown Area;Original;hectares;yes;yes;3
Albania;3;Olives Total area;Keep and rename;olive groves;;;Sown Area;Original;hectares;yes;yes;4
Albania;3;Vineyards Total area;Keep and rename;vineyards for wine;;;Sown Area;Original;hectares;yes;yes;5
Albania;3;-Tangerine;Keep and rename;mandarin;;;Sown Area;Original;hectares;yes;yes;6
Albania;3;-Orange;Keep and rename;sweet orange;;;Sown Area;Original;hectares;yes;yes;6
Albania;3;-Lemon;Keep and rename;lemon;;;Sown Area;Original;hectares;yes;yes;6
Albania;3;-Dried onion;Keep and rename;onion;;;Sown Area;Original;hectares;yes;yes;7
Albania;3;-Apple;Keep and rename;apple;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;-Plum;Keep and rename;plum;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;-Cherry;Keep and rename;cherries;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;-Fig;Keep and rename;fig;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;-Nectarine/Peach;Keep and rename;peach and nectarine;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;Chestnuts;Keep and rename;chestnut;;;Sown Area;Original;hectares;yes;yes;8
Albania;3;Walnuts;Keep and rename;walnut;;;Sown Area;Original;hectares;yes;yes;8
Spain;3;TRIGO;Keep and rename;wheat;wheat;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;CEBADA;Keep and rename;barley;barley;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;AVENA;Keep and rename;oats;oats;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;CENTENO;Keep and rename;rye;rye;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;TRITICALE;Keep and rename;triticale;triticale;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;ARROZ - Total;Keep and rename;rice;rice;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;ARROZ CÁSCARA;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;MAÍZ;Keep and rename;maize;maize;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;SORGO;Keep and rename;sorghum;sorghum;cereals;Sown Area;Original;hectares;yes;yes;116
Spain;3;TOTAL LEGUMINOSAS GRANO;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;JUDÍAS SECAS;Keep and rename;kidney beans;legumes;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;HABAS SECAS;Keep and rename;dry faba beans;legumes;vegetables;Sown Area;Original;hectares;yes;yes;116
