crop_name;std_crop_group;std_crop_subgroup;std_crop
agave;industrial crops;other industrial crops;agave
almond;fruit orchards;stone fruits;almond
aloe;industrial crops;other industrial crops;aloe
amaranth;cereals;pseudocereals;amaranth
anise;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;anise
apple;fruit orchards;pome fruits;apples
apple Amasya;fruit orchards;pome fruits;apples
apple and pear;fruit orchards;pome fruits;apples
apple cider;fruit orchards;pome fruits;apples
apple gala;fruit orchards;pome fruits;apples
apple golden;fruit orchards;pome fruits;apples
apple granny smith;fruit orchards;pome fruits;apples
apple other;fruit orchards;pome fruits;apples
apple starking delicious;fruit orchards;pome fruits;apples
apple topaz;fruit orchards;pome fruits;apples
apricot;fruit orchards;stone fruits;apricots
apricot and kaishia;fruit orchards;stone fruits;apricots
apricot Klosterneuburger Marille1;fruit orchards;stone fruits;apricots
apricot other;fruit orchards;stone fruits;apricots
apricot greenhouse;fruit orchards;stone fruits;apricots
Arabian jasmine;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;Arabian jasmine
aromatic and medicinal herbs;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;
aromatic and medicinal herbs greenhouse;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;
artichoke;vegetables;flowering vegetables;artichoke
arugula;vegetables;leafy vegetables;arugula
arugula greenhouse;vegetables;leafy vegetables;arugula
asparagus;vegetables;shooting vegetables;asparagus
avocado;fruit orchards;subtropical fruits;avocado
avocado and medlar and banana and carob and mastic;fruit orchards;subtropical fruits;
baladi orange;fruit orchards;citrus fruits;sweet oranges
banana;fruit orchards;subtropical berries;banana
banana greenhouse;fruit orchards;subtropical berries;banana
barley;cereals;barley;barley
beans;legumes;dry pulses;beans
beet;vegetables;leafy vegetables;beet
beet root;vegetables;tubers/rooting vegetables;beet
bell pepper;vegetables;fruiting vegetables;peppers
bell pepper greenhouse;vegetables;fruiting vegetables;peppers
bergamot;fruit orchards;citrus fruits;bergamot
berries total;fruit orchards;berries;
bitter melon;vegetables;fruiting vegetables;bitter melon
black cumin;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;cumin
black elder;fruit orchards;berries;black elder
blackberries;fruit orchards;berries;blackberries
blackcurrants;fruit orchards;berries;currants
blackcurrants and blueberries;fruit orchards;berries;
blackcurrants and greencurrants;fruit orchards;berries;currants
black-eyed peas;legumes;dry pulses;black-eyed peas
blackthorn;fruit orchards;berries;blackthorn
blood orange;fruit orchards;citrus fruits;sweet oranges
blueberries;fruit orchards;berries;blueberries
blueberries greenhouse;fruit orchards;berries;
borage;vegetables;leafy vegetables;borage
brassicas;vegetables;leafy vegetables;
broccoli;vegetables;flowering vegetables;broccoli
broccoli and cabbage;vegetables;flowering vegetables;
broccoli greenhouse;vegetables;flowering vegetables;
broomcorn;cereals;other cereals;sorghum
brussels sprouts;vegetables;fruiting vegetables;brussels sprouts
buckwheat;cereals;pseudocereals;buckwheat
bulbs;ornamental plants and flowers;flowers;
cabbage;vegetables;leafy vegetables;cabbages
cabbage greenhouse;vegetables;leafy vegetables;cabbages
cabbage and kale;vegetables;leafy vegetables;
chamomile;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;chamomile
caper;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;caper
carnation;ornamental plants and flowers;flowers;carnation
carnation greenhouse;ornamental plants and flowers;flowers;carnation
carob;fruit orchards;other fruit trees;carob
carrot;vegetables;tubers/rooting vegetables;carrot
carrot and parsnip;vegetables;tubers/rooting vegetables;
carrot greenhouse;vegetables;tubers/rooting vegetables;carrot
cauliflower;vegetables;flowering vegetables;cauliflower
cauliflower and broccoli;vegetables;flowering vegetables;cauliflower
cauliflower greenhouse;vegetables;flowering vegetables;cauliflower
celeriac;vegetables;tubers/rooting vegetables;celery
celery;vegetables;shooting vegetables;celery
celery greenhouse;vegetables;shooting vegetables;celery
chard;vegetables;leafy vegetables;chard
chard greenhouse;vegetables;leafy vegetables;chard
cherimoya;fruit orchards;subtropical fruits;cherimoya
cherries;fruit orchards;stone fruits;cherries
chestnut;fruit orchards;nuts fruits;chestnut
chickpeas;legumes;dry pulses;chickpeas
chicory;vegetables;leafy vegetables;chicory
chicory and endive;vegetables;leafy vegetables;
chicory root;vegetables;tubers/rooting vegetables;chicory
chili pepper;vegetables;fruiting vegetables;peppers
chili pepper greenhouse;vegetables;fruiting vegetables;peppers
Chinese cabbage;vegetables;leafy vegetables;cabbages
chinotte;fruit orchards;citrus fruits;chinotte
chive;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;chive
chokeberries;fruit orchards;berries;chokeberries
chrysanthemum;ornamental plants and flowers;flowers;chrysanthemum
chrysanthemum greenhouse;ornamental plants and flowers;flowers;chrysanthemum
chufa;vegetables;tubers/rooting vegetables;chufa
citrus fruits total;fruit orchards;citrus fruits;
clementine;fruit orchards;citrus fruits;mandarins
cocoa;fruit orchards;tropical fruits;cocoa
coffee;fruit orchards;tropical fruits;coffee
collard;vegetables;leafy vegetables;collard
common wheat;cereals;wheat;wheat
common wheat and spelt;cereals;wheat;wheat
coriander;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;coriander
cotton;industrial crops;fiber crops;cotton
cottonseed;industrial crops;oilseeds;cotton
courgette;vegetables;fruiting vegetables;squash
courgette and squash;vegetables;fruiting vegetables;squash
courgette greenhouse;vegetables;fruiting vegetables;squash
cowpeas;legumes;dry pulses;cowpeas
cranberries;fruit orchards;berries;cranberries
cress;vegetables;leafy vegetables;cress
cucumber;vegetables;fruiting vegetables;cucumber
cucumber and squash and pumpkin and gourd;vegetables;fruiting vegetables;
cucumber greenhouse;vegetables;fruiting vegetables;cucumber
caraway;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;caraway
cumin;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;cumin
currants;fruit orchards;berries;currants
cutflowers;ornamental plants and flowers;flowers;
date palm;fruit orchards;tropical fruits;date palm
dill;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;dill
dill greenhouse;medicinal and aromatic plants and herbs;aromatic and medicinal herbs;dill
dry beans;legumes;dry pulses;beans
dry cowpeas;legumes;dry pulses;cowpeas
